Timestamp;accel_x;accel_y;accel_z;ambient_light;blue_proportion;green_proportion;gyro_x;gyro_y;gyro_z;pressure_kPa;pressure_mmHg;proximity;red_proportion;temperature;temperature_C;temperature_F;tilt_x;tilt_y;tilt_z
2025-01-17 03:52:49;-2.39;;;;;;;;;;;;;;;;;;
2025-01-17 03:52:49;;-8.62;1848.32;;;;-2.27;12.57;-0.6;;;;;;;;-0.24;-0.87;-70.68
2025-01-17 03:52:51;;;;;;;;;;0.0;;;;;;;;;
2025-01-17 03:52:51;;;;;;;;;;;0.0;;;;0.0;491.0;;;
2025-01-17 03:52:53;;;;0.0;;;;;;;;;;;;;;;
2025-01-17 03:52:53;;;;;0.0;0.0;;;;;;0.0;0.0;;;;;;
2025-01-17 03:52:55;-765.67;;;;;;;;;;;;;;;;;;
2025-01-17 03:52:55;;-14.84;-3.83;;;;-2.24;10.89;-0.41;;;;;;;;-36.65;-0.12;0.31
2025-01-17 03:52:57;;;;;;;;;;0.0;;;;;;;;;
2025-01-17 03:52:57;;;;;;;;;;;0.0;;;;0.0;491.0;;;
2025-01-17 03:52:59;;;;0.0;;;;;;;;;;;;;;;
2025-01-17 03:52:59;;;;;;;;;;;;0.0;;;;;;;
2025-01-17 03:52:59;;;;;0.0;0.0;;;;;;;0.0;;;;;;
2025-01-17 03:53:01;-580.83;;;;;;;;;;;;;;;;;;
2025-01-17 03:53:02;;-14.84;1933.08;;;;-1.75;6.94;-0.72;;;;;;;;-0.21;1.21;16.77
2025-01-17 03:53:03;;;;;;;;;;0.0;;;;;;;;;
2025-01-17 03:53:03;;;;;;;;;;;0.0;;;;0.0;491.0;;;
2025-01-17 03:53:05;;;;0.0;;;;;;;;;;;;;;;
2025-01-17 03:53:05;;;;;0.0;0.0;;;;;;0.0;0.0;;;;;;
2025-01-17 03:53:07;-12.93;;;;;;;;;;;;;;;;;;
2025-01-17 03:53:07;;-24.42;1910.09;;;;-2.24;9.22;-0.44;;;;;;;;-13.97;-0.27;-89.14
2025-01-17 03:53:09;;;;;;;;;;0.0;;;;;;;;;
2025-01-17 03:53:09;;;;;;;;;;;0.0;;;;0.0;491.0;;;
2025-01-17 03:53:11;;;;0.0;;;;;;;;;;;;;;;
2025-01-17 03:53:11;;;;;0.0;0.0;;;;;;0.0;0.0;;;;;;
2025-01-17 03:53:13;-11.97;;;;;;;;;;;;;;;;;;
2025-01-17 03:53:13;;-21.07;1904.35;;;;-2.61;-12.33;-0.7;;;;;;;;-87.71;-0.53;18.14
2025-01-17 03:53:15;;;;;;;;;;0.0;;;;;;;;;
2025-01-17 03:53:15;;;;;;;;;;;0.0;;;;0.0;491.0;;;
